"Part";"Value";"Device";"Package";"Description";"";
"C1";"10u/10V";"C-EUC0805";"C0805";"CAPACITOR, European symbol";"";
"C2";"1u";"C-EUC0603";"C0603";"CAPACITOR, European symbol";"";
"C3";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C4";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C5";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C6";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C7";"10n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"C8";"100n";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";
"IC1";"STM32F103T8";"STM32F10XTXU6";"VFQFPN36";"STM32F101/103 36pad VFQPFN36";"";
"IC2";"TC1015-3.3VCT713";"V_REG_TPS76433SOT23-5";"SOT23-5";"Voltage Regulator";"";
"IC3";"MPU9250";"IMU3000QFN-24-0.4MIL";"QFN-24-3X3";"";"";
"LED1";"red";"LEDCHIPLED_0603";"CHIPLED_0603";"LED";"";
"LED2";"green";"LEDCHIPLED_0603";"CHIPLED_0603";"LED";"";
"NT";"NT";"SM04B-SRSS-TB";"SM04B-SRSS-TB";"Disconnectable Crimp style connector, 1.0mm pitch4 contacts";"";
"Q1";"CSTCE8M00G55-R0";"RESONATORSMD";"RESONATOR-SMD";"Resonator";"";
"R1";"10k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R2";"4.7k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R3";"2.2k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"R5";"10k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";
"SJ1";"BOOT0";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";
"SJ2";"IMU-ID2";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";
"SJ3";"IMU-ID3";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";
